subject,source_file,original_columns,missing_columns,duplicated_column_names,used_alias_for_cgm,numeric_parse_errors
1,AZT1D 2025\CGM Records\Subject 1\Subject 1.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
2,AZT1D 2025\CGM Records\Subject 2\Subject 2.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
3,AZT1D 2025\CGM Records\Subject 3\Subject 3.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
4,AZT1D 2025\CGM Records\Subject 4\Subject 4.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
5,AZT1D 2025\CGM Records\Subject 5\Subject 5.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
6,AZT1D 2025\CGM Records\Subject 6\Subject 6.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
7,AZT1D 2025\CGM Records\Subject 7\Subject 7.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
8,AZT1D 2025\CGM Records\Subject 8\Subject 8.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
9,AZT1D 2025\CGM Records\Subject 9\Subject 9.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
10,AZT1D 2025\CGM Records\Subject 10\Subject 10.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
11,AZT1D 2025\CGM Records\Subject 11\Subject 11.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
12,AZT1D 2025\CGM Records\Subject 12\Subject 12.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
13,AZT1D 2025\CGM Records\Subject 13\Subject 13.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
14,AZT1D 2025\CGM Records\Subject 14\Subject 14.csv,EventDateTime | Basal | BolusType | CarbSize | CorrectionDelivered | FoodDelivered | Readings (CGM / BGM) | TotalBolusInsulinDelivered | DeviceMode,,,True,
15,AZT1D 2025\CGM Records\Subject 15\Subject 15.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
16,AZT1D 2025\CGM Records\Subject 16\Subject 16.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
17,AZT1D 2025\CGM Records\Subject 17\Subject 17.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
18,AZT1D 2025\CGM Records\Subject 18\Subject 18.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
19,AZT1D 2025\CGM Records\Subject 19\Subject 19.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
20,AZT1D 2025\CGM Records\Subject 20\Subject 20.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
21,AZT1D 2025\CGM Records\Subject 21\Subject 21.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
22,AZT1D 2025\CGM Records\Subject 22\Subject 22.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
23,AZT1D 2025\CGM Records\Subject 23\Subject 23.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
24,AZT1D 2025\CGM Records\Subject 24\Subject 24.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
25,AZT1D 2025\CGM Records\Subject 25\Subject 25.csv,EventDateTime | DeviceMode | BolusType | Basal | CorrectionDelivered | TotalBolusInsulinDelivered | FoodDelivered | CarbSize | CGM,,,False,
