subject,windows,mae,rmse
1,10399,13.224637,17.9939
2,10965,19.91938,27.68313
3,9686,13.762441,18.891562
4,12629,21.058832,28.580706
5,11091,16.523758,21.776003
6,12611,15.311633,21.331688
7,13104,17.458868,23.502232
8,6824,19.253998,26.186346
9,10367,19.566607,26.350954
10,11650,16.03236,24.02432
11,12499,20.88799,27.72715
12,10648,15.73535,22.019949
13,12437,12.594998,17.511938
14,12586,14.889163,20.348026
15,13583,18.011484,25.239607
16,12090,16.024897,22.466055
17,11494,18.06673,24.112062
18,10335,16.921335,22.46154
19,12774,14.3470335,19.584444
20,13115,14.447885,20.134909
21,12252,21.597128,28.673286
22,10852,15.616108,21.178724
23,13317,17.784035,24.15412
24,8690,17.806213,24.526348
25,10692,21.127478,28.758078
overall_pooled,286690,17.088966,23.611193
overall_macro,25,17.118813,23.408682
