subject,cgm_only_windows,multivariate_eligible,multivariate_windows
1,10399,True,10399
2,10965,True,10965
3,9686,True,9686
4,12629,True,12629
5,11091,True,11091
6,12611,True,12611
7,13104,True,13104
8,6824,True,6824
9,10367,True,10367
10,11650,True,11650
11,12499,True,12499
12,10648,True,10648
13,12437,True,12437
14,12586,True,12586
15,13583,True,13583
16,12090,True,12090
17,11494,True,11494
18,10335,True,10335
19,12774,True,12774
20,13115,True,13115
21,12252,True,12252
22,10852,True,10852
23,13317,False,0
24,8690,True,8690
25,10692,True,10692
